Code,Country,Year,Income,AgeAMI,IncomeAMI,RecordsAMI,SexAMI,YearAMI,Age_AAI,Records_AAI,Sex_AAI,Year_AAI,Year_AMC,Team_AMC,NOC_AMC,Age_AMC,Sex_AMC,Records_AMC,Income_AMC,Year_AAC,Team_AAC,NOC_AAC,Age_AAC,Sex_AAC,Records_AAC,Income_AAC,Income_AAI
ATG,Antigua and Barbuda,2000,UM,23,UM,11,F,1988,20,71,M,1988,1988,Bulgaria,BUL,20,M,2,,1988,Argentina,ARG,17,M,1,UM,L
ATG,Antigua and Barbuda,2004,UM,23,H,44,M,1988,20,85,M,1988,1988,Bulgaria,BUL,21,F,2,,1988,Argentina,ARG,18,F,3,UM,LM
ATG,Antigua and Barbuda,2008,H,23,L,4,M,1988,20,107,M,1988,1988,Bulgaria,BUL,21,M,1,,1988,Argentina,ARG,18,M,2,UM,UM
ATG,Antigua and Barbuda,2012,H,23,LM,3,M,1988,21,102,F,1988,1988,Bulgaria,BUL,22,F,2,,1988,Argentina,ARG,19,F,2,UM,H
ATG,Antigua and Barbuda,2016,H,23,UM,18,M,1988,21,20,F,1988,1988,Bulgaria,BUL,22,M,3,,1988,Argentina,ARG,19,M,4,UM,L
ARG,Argentina,1988,UM,24,H,26,F,1988,21,22,F,1988,1988,Bulgaria,BUL,23,F,3,,1988,Argentina,ARG,20,F,3,UM,LM
ARG,Argentina,1992,UM,24,L,8,F,1988,21,28,F,1988,1988,Bulgaria,BUL,23,M,1,,1988,Argentina,ARG,20,M,8,UM,UM
ARG,Argentina,1996,UM,24,LM,5,F,1988,21,252,M,1988,1988,Bulgaria,BUL,24,F,3,,1988,Argentina,ARG,21,F,2,UM,H
ARG,Argentina,2000,UM,24,UM,7,F,1988,21,68,M,1988,1988,Bulgaria,BUL,24,M,4,,1988,Argentina,ARG,21,M,8,UM,L
ARG,Argentina,2004,UM,24,H,43,M,1988,21,103,M,1988,1988,Bulgaria,BUL,25,F,3,,1988,Argentina,ARG,22,F,6,UM,LM
ARG,Argentina,2008,UM,24,L,6,M,1988,21,135,M,1988,1988,Bulgaria,BUL,25,M,1,,1988,Argentina,ARG,22,M,8,UM,UM
ARG,Argentina,2012,UM,24,LM,11,M,1988,22,111,F,1988,1988,Bulgaria,BUL,26,F,2,,1988,Argentina,ARG,23,F,1,UM,H
ARG,Argentina,2016,UM,24,UM,15,M,1988,22,19,F,1988,1988,Bulgaria,BUL,28,F,3,,1988,Argentina,ARG,23,M,16,UM,L
ARM,Armenia,1988,NA,25,H,14,F,1988,22,24,F,1988,1988,Bulgaria,BUL,28,M,4,,1988,Argentina,ARG,24,F,1,UM,LM
ARM,Armenia,1992,LM,25,L,5,F,1988,22,38,F,1988,1988,Bulgaria,BUL,29,M,2,,1988,Argentina,ARG,24,M,5,UM,UM
ARM,Armenia,1996,L,25,UM,10,F,1988,22,360,M,1988,1988,Canada,CAN,15,F,1,H,1988,Argentina,ARG,25,F,2,UM,H
ARM,Armenia,2000,L,25,H,35,M,1988,22,60,M,1988,1988,Canada,CAN,16,F,1,H,1988,Argentina,ARG,25,M,11,UM,L
ARM,Armenia,2004,LM,25,L,1,M,1988,22,101,M,1988,1988,Canada,CAN,18,F,2,H,1988,Argentina,ARG,26,F,6,UM,LM
ARM,Armenia,2008,LM,25,LM,5,M,1988,22,81,M,1988,1988,Canada,CAN,19,F,1,H,1988,Argentina,ARG,26,M,10,UM,UM
ARM,Armenia,2012,LM,25,UM,6,M,1988,23,144,F,1988,1988,Canada,CAN,19,M,1,H,1988,Argentina,ARG,27,F,1,UM,H
ARM,Armenia,2016,LM,26,H,13,F,1988,23,18,F,1988,1988,Canada,CAN,20,F,1,H,1988,Argentina,ARG,27,M,6,UM,L
ABW,Aruba,1988,H,26,L,2,F,1988,23,21,F,1988,1988,Canada,CAN,20,M,1,H,1988,Argentina,ARG,28,F,3,UM,LM
ABW,Aruba,1992,UM,26,LM,2,F,1988,23,26,F,1988,1988,Canada,CAN,21,F,2,H,1988,Argentina,ARG,28,M,8,UM,UM
ABW,Aruba,1996,H,26,UM,6,F,1988,23,326,M,1988,1988,Canada,CAN,21,M,1,H,1988,Argentina,ARG,29,M,3,UM,H
ABW,Aruba,2000,H,26,H,42,M,1988,23,90,M,1988,1988,Canada,CAN,22,F,1,H,1988,Argentina,ARG,30,F,1,UM,L
ABW,Aruba,2004,H,26,L,2,M,1988,23,85,M,1988,1988,Canada,CAN,23,F,2,H,1988,Argentina,ARG,31,M,1,UM,LM
ABW,Aruba,2008,H,26,LM,3,M,1988,23,129,M,1988,1988,Canada,CAN,23,M,3,H,1988,Argentina,ARG,32,M,1,UM,UM
ABW,Aruba,2012,H,26,UM,6,M,1988,24,116,F,1988,1988,Canada,CAN,24,F,1,H,1988,Argentina,ARG,33,M,1,UM,H
ABW,Aruba,2016,H,27,H,7,F,1988,24,26,F,1988,1988,Canada,CAN,24,M,1,H,1988,Argentina,ARG,34,M,2,UM,L
AUS,Australia,1988,H,27,L,1,F,1988,24,28,F,1988,1988,Canada,CAN,25,F,1,H,1988,Argentina,ARG,36,M,1,UM,LM
AUS,Australia,1992,H,27,LM,1,F,1988,24,17,F,1988,1988,Canada,CAN,26,M,1,H,1988,Argentina,ARG,37,M,1,UM,UM
AUS,Australia,1996,H,27,UM,1,F,1988,24,351,M,1988,1988,Canada,CAN,27,M,1,H,1988,Argentina,ARG,39,F,1,UM,H
AUS,Australia,2000,H,27,H,38,M,1988,24,71,M,1988,1988,Canada,CAN,28,M,2,H,1988,Argentina,ARG,39,M,1,UM,L
AUS,Australia,2004,H,27,L,1,M,1988,24,124,M,1988,1988,Canada,CAN,30,F,1,H,1988,Argentina,ARG,43,M,2,UM,LM
AUS,Australia,2008,H,27,LM,3,M,1988,24,90,M,1988,1988,Canada,CAN,36,F,1,H,1988,Argentina,ARG,45,M,1,UM,UM
AUS,Australia,2012,H,27,UM,8,M,1988,25,93,F,1988,1988,Canada,CAN,51,F,1,H,1988,Argentina,ARG,49,M,1,UM,H
AUS,Australia,2016,H,28,H,13,F,1988,25,25,F,1988,1988,Canada-1,CAN,26,F,1,H,1988,Aruba,ARU,17,F,2,H,L
AUT,Austria,1988,H,28,H,47,M,1988,25,11,F,1988,1988,Canada-1,CAN,29,M,1,H,1988,Aruba,ARU,18,F,2,H,LM
AUT,Austria,1992,H,28,LM,8,M,1988,25,20,F,1988,1988,Chile,CHI,31,M,1,H,1988,Aruba,ARU,24,M,1,H,UM
AUT,Austria,1996,H,28,UM,4,M,1988,25,322,M,1988,1988,China,CHN,14,M,1,L,1988,Aruba,ARU,27,M,1,H,H
AUT,Austria,2000,H,29,H,7,F,1988,25,94,M,1988,1988,China,CHN,15,F,1,L,1988,Aruba,ARU,28,F,3,H,L
AUT,Austria,2004,H,29,L,1,F,1988,25,79,M,1988,1988,China,CHN,16,F,2,L,1988,Aruba,ARU,31,M,1,H,LM
AUT,Austria,2008,H,29,UM,3,F,1988,25,83,M,1988,1988,China,CHN,17,F,2,L,1988,Aruba,ARU,49,M,2,H,UM
AUT,Austria,2012,H,29,H,24,M,1988,26,82,F,1988,1988,China,CHN,18,F,2,L,1988,Australia,AUS,16,F,7,H,H
AUT,Austria,2016,H,29,LM,5,M,1988,26,16,F,1988,1988,China,CHN,19,F,7,L,1988,Australia,AUS,17,F,9,H,L
AZE,Azerbaijan,1988,NA,29,UM,4,M,1988,26,19,F,1988,1988,China,CHN,20,F,4,L,1988,Australia,AUS,17,M,3,H,LM
AZE,Azerbaijan,1992,LM,30,H,4,F,1988,26,21,F,1988,1988,China,CHN,20,M,1,L,1988,Australia,AUS,18,F,12,H,UM
AZE,Azerbaijan,1996,L,30,UM,3,F,1988,26,254,M,1988,1988,China,CHN,21,F,2,L,1988,Australia,AUS,18,M,3,H,H
AZE,Azerbaijan,2000,L,30,H,7,M,1988,26,55,M,1988,1988,China,CHN,21,M,2,L,1988,Australia,AUS,19,F,6,H,L
AZE,Azerbaijan,2004,LM,30,L,1,M,1988,26,85,M,1988,1988,China,CHN,22,F,1,L,1988,Australia,AUS,19,M,17,H,LM
AZE,Azerbaijan,2008,LM,30,LM,2,M,1988,26,99,M,1988,1988,China,CHN,23,M,3,L,1988,Australia,AUS,20,F,2,H,UM
AZE,Azerbaijan,2012,UM,31,H,3,F,1988,27,55,F,1988,1988,China,CHN,24,F,7,L,1988,Australia,AUS,20,M,17,H,H
AZE,Azerbaijan,2016,UM,31,L,2,F,1988,27,10,F,1988,1988,China,CHN,24,M,3,L,1988,Australia,AUS,21,F,9,H,L
BHS,"Bahamas, The",1988,H,31,H,21,M,1988,27,5,F,1988,1988,China,CHN,25,F,5,L,1988,Australia,AUS,21,M,15,H,LM
BHS,"Bahamas, The",1992,H,31,L,1,M,1988,27,6,F,1988,1988,China,CHN,25,M,1,L,1988,Australia,AUS,22,F,5,H,UM
BHS,"Bahamas, The",1996,H,31,LM,1,M,1988,27,255,M,1988,1988,China,CHN,26,F,1,L,1988,Australia,AUS,22,M,19,H,H
BHS,"Bahamas, The",2000,H,31,UM,2,M,1988,27,30,M,1988,1988,China,CHN,27,F,1,L,1988,Australia,AUS,23,F,13,H,L
BHS,"Bahamas, The",2004,H,32,H,3,F,1988,27,66,M,1988,1988,China,CHN,29,F,1,L,1988,Australia,AUS,23,M,25,H,LM
BHS,"Bahamas, The",2008,H,32,H,14,M,1988,27,64,M,1988,1988,China,CHN,31,F,2,L,1988,Australia,AUS,24,F,8,H,UM
BHS,"Bahamas, The",2012,H,32,UM,2,M,1988,28,57,F,1988,1988,China,CHN,31,M,1,L,1988,Australia,AUS,24,M,13,H,H
BHS,"Bahamas, The",2016,H,33,H,4,F,1988,28,4,F,1988,1988,China-1,CHN,23,M,1,L,1988,Australia,AUS,25,F,10,H,L
BHR,Bahrain,1988,H,33,H,8,M,1988,28,12,F,1988,1988,China-1,CHN,26,M,1,L,1988,Australia,AUS,25,M,24,H,LM
BHR,Bahrain,1992,UM,34,H,1,F,1988,28,7,F,1988,1988,Colombia,COL,19,M,1,LM,1988,Australia,AUS,26,F,4,H,UM
BHR,Bahrain,1996,UM,34,UM,3,F,1988,28,192,M,1988,1988,Costa Rica,CRC,17,F,1,LM,1988,Australia,AUS,26,M,17,H,H
BHR,Bahrain,2000,UM,34,H,6,M,1988,28,54,M,1988,1988,Denmark,DEN,22,M,1,H,1988,Australia,AUS,27,F,2,H,L
BHR,Bahrain,2004,H,35,H,1,F,1988,28,58,M,1988,1988,Denmark,DEN,26,M,1,H,1988,Australia,AUS,27,M,14,H,LM
BHR,Bahrain,2008,H,35,H,1,M,1988,28,67,M,1988,1988,Denmark,DEN,27,M,1,H,1988,Australia,AUS,28,F,5,H,UM
BHR,Bahrain,2012,H,36,H,1,F,1988,29,58,F,1988,1988,Denmark,DEN,29,M,1,H,1988,Australia,AUS,28,M,13,H,H
BHR,Bahrain,2016,H,36,H,3,M,1988,29,4,F,1988,1988,Denmark,DEN,31,M,2,H,1988,Australia,AUS,29,F,3,H,L
BGD,Bangladesh,1988,L,37,H,2,M,1988,29,7,F,1988,1988,Denmark,DEN,34,M,1,H,1988,Australia,AUS,29,M,8,H,LM
BGD,Bangladesh,1992,L,37,UM,1,M,1988,29,9,F,1988,1988,Djibouti,DJI,31,M,1,,1988,Australia,AUS,30,F,1,H,UM
BGD,Bangladesh,1996,L,39,H,2,M,1988,29,160,M,1988,1988,Finland,FIN,18,M,1,H,1988,Australia,AUS,30,M,14,H,H
BGD,Bangladesh,2000,L,40,H,3,M,1988,29,25,M,1988,1988,Finland,FIN,19,M,2,H,1988,Australia,AUS,31,F,2,H,L
BGD,Bangladesh,2004,L,41,H,2,F,1988,29,38,M,1988,1988,Finland,FIN,21,M,1,H,1988,Australia,AUS,31,M,3,H,LM
BGD,Bangladesh,2008,L,41,H,1,M,1988,29,36,M,1988,1988,Finland,FIN,22,M,5,H,1988,Australia,AUS,32,M,3,H,UM
BGD,Bangladesh,2012,L,42,LM,1,M,1988,30,38,F,1988,1988,Finland,FIN,23,F,3,H,1988,Australia,AUS,33,F,1,H,H
BGD,Bangladesh,2016,LM,43,H,1,F,1988,30,3,F,1988,1988,Finland,FIN,23,M,4,H,1988,Australia,AUS,33,M,4,H,L
BRB,Barbados,1988,UM,44,H,3,M,1988,30,6,F,1988,1988,Finland,FIN,24,F,1,H,1988,Australia,AUS,34,M,2,H,LM
BRB,Barbados,1992,UM,51,H,1,F,1988,30,8,F,1988,1988,Finland,FIN,24,M,4,H,1988,Australia,AUS,35,F,3,H,UM
BRB,Barbados,1996,UM,54,H,1,M,1988,30,115,M,1988,1988,Finland,FIN,25,M,1,H,1988,Australia,AUS,35,M,2,H,H
BRB,Barbados,2000,H,56,UM,1,M,1988,30,21,M,1988,1988,Finland,FIN,26,M,2,H,1988,Australia,AUS,36,M,5,H,L
BRB,Barbados,2004,UM,13,L,1,F,1992,30,48,M,1988,1988,Finland,FIN,27,M,4,H,1988,Australia,AUS,37,M,2,H,LM
BRB,Barbados,2008,H,13,LM,1,F,1992,30,24,M,1988,1988,Finland,FIN,28,F,1,H,1988,Australia,AUS,38,M,1,H,UM
BRB,Barbados,2012,H,14,H,6,F,1992,31,32,F,1988,1988,Finland,FIN,28,M,3,H,1988,Australia,AUS,39,M,2,H,H
BRB,Barbados,2016,H,15,H,7,F,1992,31,5,F,1988,1988,Finland,FIN,29,M,2,H,1988,Australia,AUS,40,M,1,H,L
BLR,Belarus,1988,NA,15,L,3,F,1992,31,4,F,1988,1988,Finland,FIN,30,M,1,H,1988,Australia,AUS,43,M,3,H,LM
BLR,Belarus,1992,UM,15,LM,4,F,1992,31,4,F,1988,1988,Finland,FIN,31,M,2,H,1988,Australia,AUS,44,M,2,H,UM
BLR,Belarus,1996,LM,15,L,1,M,1992,31,105,M,1988,1988,Finland,FIN,32,F,1,H,1988,Australia,AUS,50,M,2,H,H
BLR,Belarus,2000,LM,16,H,10,F,1992,31,14,M,1988,1988,France,FRA,20,F,1,H,1988,Australia,AUS,51,F,2,H,L
BLR,Belarus,2004,LM,16,LM,1,F,1992,31,24,M,1988,1988,France,FRA,21,M,2,H,1988,Australia,AUS,54,F,1,H,LM
BLR,Belarus,2008,UM,16,H,3,M,1992,31,8,M,1988,1988,France,FRA,22,M,3,H,1988,Austria,AUT,17,F,3,H,UM
BLR,Belarus,2012,UM,16,L,1,M,1992,32,14,F,1988,1988,France,FRA,23,M,5,H,1988,Austria,AUT,18,F,1,H,H
BLR,Belarus,2016,UM,17,H,3,F,1992,32,3,F,1988,1988,France,FRA,24,M,5,H,1988,Austria,AUT,18,M,1,H,L
BEL,Belgium,1988,H,17,L,1,F,1992,32,5,F,1988,1988,France,FRA,25,M,1,H,1988,Austria,AUT,19,M,1,H,LM
BEL,Belgium,1992,H,17,LM,2,F,1992,32,96,M,1988,1988,France,FRA,28,M,2,H,1988,Austria,AUT,20,F,1,H,H
BEL,Belgium,1996,H,17,UM,3,F,1992,32,11,M,1988,1988,France,FRA,29,M,2,H,1988,Austria,AUT,20,M,6,H,L
BEL,Belgium,2000,H,17,H,5,M,1992,32,16,M,1988,1988,France,FRA,31,M,4,H,1988,Austria,AUT,21,F,1,H,LM
BEL,Belgium,2004,H,17,L,6,M,1992,32,20,M,1988,1988,France,FRA,32,M,1,H,1988,Austria,AUT,21,M,4,H,UM
BEL,Belgium,2008,H,17,UM,1,M,1992,33,20,F,1988,1988,France,FRA,33,M,2,H,1988,Austria,AUT,22,M,13,H,H
BEL,Belgium,2012,H,18,H,10,F,1992,33,1,F,1988,1988,France,FRA,34,M,1,H,1988,Austria,AUT,23,M,9,H,L
BEL,Belgium,2016,H,18,LM,7,F,1992,33,5,F,1988,1988,France,FRA,39,M,1,H,1988,Austria,AUT,24,M,5,H,LM
BLZ,Belize,1988,LM,18,UM,5,F,1992,33,57,M,1988,1988,France,FRA,43,F,1,H,1988,Austria,AUT,25,F,1,H,H
BLZ,Belize,1992,LM,18,H,13,M,1992,33,4,M,1988,1988,Great Britain,GBR,18,M,1,H,1988,Austria,AUT,25,M,10,H,L
BLZ,Belize,1996,LM,18,L,9,M,1992,33,16,M,1988,1988,Great Britain,GBR,20,M,1,H,1988,Austria,AUT,26,M,6,H,LM
BLZ,Belize,2000,LM,18,LM,1,M,1992,33,7,M,1988,1988,Great Britain,GBR,21,M,4,H,1988,Austria,AUT,27,M,4,H,UM
BLZ,Belize,2004,UM,18,UM,4,M,1992,34,16,F,1988,1988,Great Britain,GBR,23,F,1,H,1988,Austria,AUT,28,M,6,H,H
BLZ,Belize,2008,LM,19,H,22,F,1992,34,1,F,1988,1988,Great Britain,GBR,23,M,3,H,1988,Austria,AUT,29,M,5,H,LM
BLZ,Belize,2012,UM,19,L,9,F,1992,34,4,F,1988,1988,Great Britain,GBR,24,F,2,H,1988,Austria,AUT,31,M,1,H,UM
BLZ,Belize,2016,UM,19,LM,2,F,1992,34,45,M,1988,1988,Great Britain,GBR,24,M,3,H,1988,Austria,AUT,32,M,1,H,H
BEN,Benin,1988,L,19,UM,2,F,1992,34,8,M,1988,1988,Great Britain,GBR,25,M,3,H,1988,Austria,AUT,33,M,4,H,L
BEN,Benin,1992,L,19,H,15,M,1992,34,10,M,1988,1988,Great Britain,GBR,26,M,8,H,1988,Austria,AUT,36,M,1,H,LM
BEN,Benin,1996,L,19,L,11,M,1992,34,6,M,1988,1988,Great Britain,GBR,27,F,1,H,1988,Austria,AUT,37,M,1,H,UM
BEN,Benin,2000,L,19,LM,3,M,1992,35,8,F,1988,1988,Great Britain,GBR,27,M,2,H,1988,Austria,AUT,42,M,2,H,H
BEN,Benin,2004,L,19,UM,3,M,1992,35,1,F,1988,1988,Great Britain,GBR,28,M,7,H,1988,Austria,AUT,46,F,2,H,UM
BEN,Benin,2008,L,20,H,22,F,1992,35,31,M,1988,1988,Great Britain,GBR,29,M,3,H,1988,Austria,AUT,46,M,2,H,H
BEN,Benin,2012,L,20,L,4,F,1992,35,3,M,1988,1988,Great Britain,GBR,30,M,1,H,1988,Austria,AUT,47,M,4,H,L
BEN,Benin,2016,L,20,LM,2,F,1992,35,1,M,1988,1988,Great Britain,GBR,32,M,3,H,1988,Austria,AUT,54,M,1,H,LM
BMU,Bermuda,1988,H,20,UM,5,F,1992,35,6,M,1988,1988,Great Britain,GBR,33,F,2,H,1988,Bahrain,BRN,22,M,5,,UM
BMU,Bermuda,1992,H,20,H,30,M,1992,36,11,F,1988,1988,Great Britain,GBR,33,M,3,H,1988,Bahrain,BRN,23,M,1,,H
BMU,Bermuda,1996,H,20,L,9,M,1992,36,1,F,1988,1988,Great Britain,GBR,34,M,2,H,1988,Bahrain,BRN,25,M,5,,LM
BMU,Bermuda,2000,H,20,LM,16,M,1992,36,38,M,1988,1988,Great Britain,GBR,36,M,1,H,1988,Bahrain,BRN,26,M,1,,H
BMU,Bermuda,2004,H,20,UM,10,M,1992,36,1,M,1988,1988,Great Britain,GBR,39,M,1,H,1988,Bangladesh,BAN,21,M,5,L,L
BMU,Bermuda,2008,H,21,H,12,F,1992,36,11,M,1988,1988,Great Britain,GBR,40,M,1,H,1988,Bangladesh,BAN,22,M,2,L,LM
BMU,Bermuda,2012,H,21,L,7,F,1992,36,5,M,1988,1988,Great Britain,GBR,44,M,1,H,1988,Bangladesh,BAN,26,M,2,L,UM
